"år","region",Folkmängd
"2004","13 Hallands län",283788
"2004","14 Västra Götalands län",1521895
"2004","17 Värmlands län",273547
"2004","18 Örebro län",273920
"2004","19 Västmanlands län",261005
"2004","20 Dalarnas län",276042
"2004","21 Gävleborgs län",276599
"2004","22 Västernorrlands län",244195
"2004","23 Jämtlands län",127424
"2004","24 Västerbottens län",256875
"2004","25 Norrbottens län",252585
"2005","01 Stockholms län",1889945
"2005","03 Uppsala län",304367
"2005","04 Södermanlands län",261895
"2005","05 Östergötlands län",416303
"2005","06 Jönköpings län",330179
"2005","07 Kronobergs län",178443
"2005","08 Kalmar län",233944
"2005","09 Gotlands län",57488
"2005","10 Blekinge län",150696
"2005","12 Skåne län",1169464
"2005","13 Hallands län",285868
"2005","14 Västra Götalands län",1528455
"2005","17 Värmlands län",273288
"2005","18 Örebro län",274121
"2005","19 Västmanlands län",261391
"2005","20 Dalarnas län",275755
"2005","21 Gävleborgs län",275994
"2005","22 Västernorrlands län",243736
"2005","23 Jämtlands län",127028
"2005","24 Västerbottens län",257652
"2005","25 Norrbottens län",251740
"2006","01 Stockholms län",1918104
"2006","03 Uppsala län",319925
"2006","04 Södermanlands län",263099
"2006","05 Östergötlands län",417966
"2006","06 Jönköpings län",331539
"2006","07 Kronobergs län",179635
"2006","08 Kalmar län",233776
"2006","09 Gotlands län",57297
"2006","10 Blekinge län",151436
"2006","12 Skåne län",1184500
"2006","13 Hallands län",288859
"2006","14 Västra Götalands län",1538284
"2006","17 Värmlands län",273489
"2006","18 Örebro län",275030
"2006","19 Västmanlands län",248489
"2006","20 Dalarnas län",275711
"2006","21 Gävleborgs län",275653
"2006","22 Västernorrlands län",243978
"2006","23 Jämtlands län",127020
"2006","24 Västerbottens län",257581
"2006","25 Norrbottens län",251886
"2007","01 Stockholms län",1949516
"2007","03 Uppsala län",323270
"2007","04 Södermanlands län",265190
"2007","05 Östergötlands län",420809
"2007","06 Jönköpings län",333610
"2007","07 Kronobergs län",180787
"2007","08 Kalmar län",233834
"2007","09 Gotlands län",57122
"2007","10 Blekinge län",151900
"2007","12 Skåne län",1199357
"2007","13 Hallands län",291393
"2007","14 Västra Götalands län",1547298
"2007","17 Värmlands län",273826
"2007","18 Örebro län",276067
"2007","19 Västmanlands län",249193
"2007","20 Dalarnas län",275618
"2007","21 Gävleborgs län",275556
"2007","22 Västernorrlands län",243449
"2007","23 Jämtlands län",126937
"2007","24 Västerbottens län",257593
"2007","25 Norrbottens län",250602
"2008","01 Stockholms län",1981263
"2008","03 Uppsala län",327188
"2008","04 Södermanlands län",267524
"2008","05 Östergötlands län",423169
"2008","06 Jönköpings län",335246
"2008","07 Kronobergs län",182224
"2008","08 Kalmar län",233397
"2008","09 Gotlands län",57004
"2008","10 Blekinge län",152259
"2008","12 Skåne län",1214758
"2008","13 Hallands län",293572
"2008","14 Västra Götalands län",1558130
"2008","17 Värmlands län",273374
"2008","18 Örebro län",277732
"2008","19 Västmanlands län",249974
"2008","20 Dalarnas län",275867
"2008","21 Gävleborgs län",275908
"2008","22 Västernorrlands län",243372
"2008","23 Jämtlands län",126897
"2008","24 Västerbottens län",257812
"2008","25 Norrbottens län",249677
"2009","01 Stockholms län",2019182
"2009","03 Uppsala län",331898
"2009","04 Södermanlands län",269053
"2009","05 Östergötlands län",427106
"2009","06 Jönköpings län",336044
"2009","07 Kronobergs län",183162
"2009","08 Kalmar län",233639
"2009","09 Gotlands län",57221
"2009","10 Blekinge län",152591
"2009","12 Skåne län",1231062
"2009","13 Hallands län",296825
"2009","14 Västra Götalands län",1569458
"2009","17 Värmlands län",273257
"2009","18 Örebro län",278882
"2009","19 Västmanlands län",251353
"2009","20 Dalarnas län",276454
"2009","21 Gävleborgs län",276220
"2009","22 Västernorrlands län",243042
"2009","23 Jämtlands län",126666
"2009","24 Västerbottens län",258548
"2009","25 Norrbottens län",249019
"2010","01 Stockholms län",2054343
"2010","03 Uppsala län",335882
"2010","04 Södermanlands län",270738
"2010","05 Östergötlands län",429642
"2010","06 Jönköpings län",336866
"2010","07 Kronobergs län",183940
"2010","08 Kalmar län",233536
"2010","09 Gotlands län",57269
"2010","10 Blekinge län",153227
"2010","12 Skåne län",1243329
"2010","13 Hallands län",299484
"2010","14 Västra Götalands län",1580297
"2010","17 Värmlands län",273265
"2010","18 Örebro län",280230
"2010","19 Västmanlands län",252756
"2010","20 Dalarnas län",277047
"2010","21 Gävleborgs län",276508
"2010","22 Västernorrlands län",242625
"2010","23 Jämtlands län",126691
"2010","24 Västerbottens län",259286
"2010","25 Norrbottens län",248609
"2011","01 Stockholms län",2091473
"2011","03 Uppsala län",338630
"2011","04 Södermanlands län",272563
"2011","05 Östergötlands län",431075
"2011","06 Jönköpings län",337896
"2011","07 Kronobergs län",184654
"2011","08 Kalmar län",233090
"2011","09 Gotlands län",57308
"2011","10 Blekinge län",152979
"2011","12 Skåne län",1252933
"2011","13 Hallands län",301724
"2011","14 Västra Götalands län",1590604
"2011","17 Värmlands län",272736
"2011","18 Örebro län",281572
"2011","19 Västmanlands län",254257
"2011","20 Dalarnas län",276565
"2011","21 Gävleborgs län",276130
"2011","22 Västernorrlands län",242155
"2011","23 Jämtlands län",126299
"2011","24 Västerbottens län",259667
"2011","25 Norrbottens län",248545
"2012","01 Stockholms län",2127006
"2012","03 Uppsala län",341977
"2012","04 Södermanlands län",274723
"2012","05 Östergötlands län",433784
"2012","06 Jönköpings län",339116
"2012","07 Kronobergs län",185887
"2012","08 Kalmar län",233548
"2012","09 Gotlands län",57241
"2012","10 Blekinge län",152315
"2012","12 Skåne län",1263088
"2012","13 Hallands län",304116
"2012","14 Västra Götalands län",1600447
"2012","17 Värmlands län",273080
"2012","18 Örebro län",283113
"2012","19 Västmanlands län",256224
"2012","20 Dalarnas län",276555
"2012","21 Gävleborgs län",276637
"2012","22 Västernorrlands län",241981
"2012","23 Jämtlands län",126201
"2012","24 Västerbottens län",260217
"2012","25 Norrbottens län",248637
"2013","01 Stockholms län",2163042
"2013","03 Uppsala län",345481
"2013","04 Södermanlands län",277569
"2013","05 Östergötlands län",437848
"2013","06 Jönköpings län",341235
"2013","07 Kronobergs län",187156
"2013","08 Kalmar län",233874
"2013","09 Gotlands län",57161
"2013","10 Blekinge län",152757
"2013","12 Skåne län",1274069
"2013","13 Hallands län",306840
"2013","14 Västra Götalands län",1615084
"2013","17 Värmlands län",273815
"2013","18 Örebro län",285395
"2013","19 Västmanlands län",259054
"2013","20 Dalarnas län",277349
"2013","21 Gävleborgs län",277970
"2013","22 Västernorrlands län",242156
"2013","23 Jämtlands län",126461
"2013","24 Västerbottens län",261112
"2013","25 Norrbottens län",249436
"2014","01 Stockholms län",2198044
"2014","03 Uppsala län",348942
"2014","04 Södermanlands län",280666
"2014","05 Östergötlands län",442105
"2014","06 Jönköpings län",344262
"2014","07 Kronobergs län",189128
"2014","08 Kalmar län",235598
"2014","09 Gotlands län",57255
"2014","10 Blekinge län",154157
"2014","12 Skåne län",1288908
"2014","13 Hallands län",310665
"2014","14 Västra Götalands län",1632012
"2014","17 Värmlands län",274691
"2014","18 Örebro län",288150
"2014","19 Västmanlands län",261703
"2014","20 Dalarnas län",278903
"2014","21 Gävleborgs län",279991
"2014","22 Västernorrlands län",243061
"2014","23 Jämtlands län",126765
"2014","24 Västerbottens län",262362
"2014","25 Norrbottens län",249987
"2015","01 Stockholms län",2231439
"2015","03 Uppsala län",354164
"2015","04 Södermanlands län",283712
"2015","05 Östergötlands län",445661
"2015","06 Jönköpings län",347837
"2015","07 Kronobergs län",191369
"2015","08 Kalmar län",237679
"2015","09 Gotlands län",57391
"2015","10 Blekinge län",156253
"2015","12 Skåne län",1303627
"2015","13 Hallands län",314784
"2015","14 Västra Götalands län",1648682
"2015","17 Värmlands län",275904
"2015","18 Örebro län",291012
"2015","19 Västmanlands län",264276
"2015","20 Dalarnas län",281028
"2015","21 Gävleborgs län",281815
"2015","22 Västernorrlands län",243897
"2015","23 Jämtlands län",127376
"2015","24 Västerbottens län",263378
"2015","25 Norrbottens län",249733
"2016","01 Stockholms län",2269060
"2016","03 Uppsala län",361373
"2016","04 Södermanlands län",288097
"2016","05 Östergötlands län",452105
"2016","06 Jönköpings län",352735
"2016","07 Kronobergs län",194628
"2016","08 Kalmar län",242301
"2016","09 Gotlands län",58003
"2016","10 Blekinge län",158453
"2016","12 Skåne län",1324565
"2016","13 Hallands län",320333
"2016","14 Västra Götalands län",1671783
"2016","17 Värmlands län",279334
"2016","18 Örebro län",294941
"2016","19 Västmanlands län",267629
"2016","20 Dalarnas län",284531
"2016","21 Gävleborgs län",284586
"2016","22 Västernorrlands län",245572
"2016","23 Jämtlands län",128673
"2016","24 Västerbottens län",265881
"2016","25 Norrbottens län",250570
